"filename", "language", "JavaScript", "PHP", "Markdown", "Elixir", "XML", "CSS", "Embedded Elixir", "HEEx", "Docker", "Batch", "comment", "blank", "total"
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-small-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-small-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-small-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-small-up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-top-right-on-square.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-trending-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-trending-up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-circle.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-on-square-stack.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-on-square.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up-tray.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-uturn-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-uturn-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-uturn-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrow-uturn-up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrows-pointing-in.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrows-pointing-out.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrows-right-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/arrows-up-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/at-symbol.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/backspace.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/backward.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/banknotes.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-2.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-3-bottom-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-3-bottom-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-3-center-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-3.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-4.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-arrow-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bars-arrow-up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/battery-0.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/battery-100.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/battery-50.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/beaker.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bell-alert.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bell-slash.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bell-snooze.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bell.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bolt-slash.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bolt.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/book-open.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bookmark-slash.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bookmark-square.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bookmark.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/briefcase.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/bug-ant.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/building-library.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/building-office-2.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/building-office.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/building-storefront.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/cake.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/calculator.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/calendar-days.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/camera.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chart-bar-square.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chart-bar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chart-pie.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-bottom-center-text.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-bottom-center.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-left-ellipsis.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-left-right.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-oval-left-ellipsis.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/chat-bubble-oval-left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/check-badge.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/check-circle.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jori/Desktop/Flashtones.cz/assets/vendor/heroicons/optimized/20/solid/check.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
